"UNITID","ROOMAMT","ROOMCAP"
235167,8943,991
235237,6300,60
235316,6240,2928
235431,8100,160
235501,5850,210
235547,8250,142
236188,6500,80
236230,5040,1560
236328,7020,1726
236452,5750,630
236577,6672,1779
236595,8262,2448
236610,8200,245
236638,4800,140
236896,4395,1340
236939,7150,7923
236975,4500,75
237011,7852,4054
237039,6435,145
237057,6020,886
237066,6450,1365
237109,4200,234
237118,4700,1027
237136,3750,243
237181,5460,800
237312,5270,762
237330,5118,902
237367,5624,1192
237385,5782,728
237473,6825,8
237525,5584,2418
237640,3990,318
237701,4138,650
237783,2880,365
237792,5852,1110
237899,7762,369
237932,5150,1271
237950,7116,388
237969,4542,1168
238032,5830,6253
238078,5400,804
238193,3922,252
238333,5332,1211
238458,6977,1795
238616,8390,1750
238980,4546,570
239017,5448,1471
239105,8660,5331
239309,8025,430
239318,6126,1305
239424,3000,62
239460,5400,187
239512,4340,547
239628,4443,954
239716,5841,1823
239743,3760,245
239910,4875,140
240107,4125,905
240170,5190,200
240189,4297,4100
240268,5012,4092
240277,4445,2078
240329,3921,3224
240365,4784,2807
240374,4787,736
240417,4400,3381
240426,3848,720
240444,7067,7825
240453,6858,3464
240462,4945,2500
240471,4136,2473
240480,4422,2978
240505,3660,494
240514,2644,240
240596,3390,213
240620,4836,276
240657,3610,526
240693,3940,558
240718,2700,180
240727,4493,2899
240754,2250,218
241191,1600,300
241225,2700,14
241410,1390,166
241614,2400,9
242617,1200,390
242705,4000,68
243221,3655,350
243443,3100,550
243577,4950,104
243638,735,216
243647,1176,116
243665,4500,365
243744,10110,12588
243780,4860,14901
245652,8456,371
245953,4456,246
247649,6660,510
247773,2200,70
251260,1160,460
262129,6867,629
262165,3200,69
363934,5120,260
364025,5260,1244
366252,6684,1710
366711,8296,1547
367334,3340,16
368036,4179,8
376695,740,84
380368,3458,100
380377,2700,82
382911,1550,52
383190,3544,40
384254,7466,374
392840,6850,98
404222,6000,112
407009,6740,728
409698,8436,3610
414823,8479,883
417549,4741,55
417752,3350,68
420325,2150,100
420574,7554,1387
421832,7550,72
421841,15490,203
423643,4860,437
429012,19500,622
432524,8180,74
433660,4820,4748
434016,4000,36
434584,4000,52
434937,5100,29
436836,10554,476
437316,6200,85
439145,6300,60
439288,9517,780
439862,2600,44
440828,8100,297
441238,7920,10
441690,1520,22
441937,9740,1612
442295,3829,113
442523,6400,128
442781,2400,36
442930,7500,83
443058,2700,10
443076,4120,125
443410,7500,262
444103,8000,31
444398,2500,192
445692,5600,347
445708,9999,1202
446048,6830,1152
446385,12900,108
